City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Ballina,AU,78.76,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
392,Khajuraho,IN,84.29,haze,24.85,79.9333,The LaLiT Temple View Khajuraho
394,Sambava,MG,76.06,overcast clouds,-14.2667,50.1667,Melrose
397,Uturoa,PF,82.56,light rain,-16.7333,-151.4333,Villa Tonoï
399,Bengkulu,ID,77.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
402,Bagotville,AU,78.62,few clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
408,Pochutla,MX,76.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
414,Bosaso,SO,79.18,clear sky,11.2842,49.1816,Red Sea Hotel
419,Santarem,BR,77.13,scattered clouds,-2.4431,-54.7083,Hotel Imperador
420,Mansoa,GW,75.09,overcast clouds,12.0733,-15.3189,Hotel Uaque
428,Adelaide,AU,78.04,few clouds,-34.9333,138.6,The Chancellor on Currie
435,Lompoc,US,75.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
440,Dingle,PH,80.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
442,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
444,Cockburn Town,TC,78.35,clear sky,21.4612,-71.1419,Osprey Beach Hotel
445,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
449,Panama City,PA,81.14,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
451,Tra Vinh,VN,86.65,overcast clouds,9.9347,106.3453,Hồng Ân
453,Pascagoula,US,77.05,overcast clouds,30.3658,-88.5561,Regency Inn
457,Boyolangu,ID,83.55,broken clouds,-8.1181,111.8935,Yos ega cv
459,Dicabisagan,PH,78.98,light rain,17.0818,122.4157,Nancy Montanes Bernardo
463,Arlit,NE,81.45,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
473,Gondanglegi,ID,86.34,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
474,Buchanan,LR,76.06,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
477,Singkawang,ID,85.17,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
478,Bambanglipuro,ID,83.26,overcast clouds,-7.95,110.2833,Puri Brata
480,Kirakira,SB,82.81,overcast clouds,-10.4544,161.9205,SanBiz Lodge
482,Hoi An,VN,80.56,scattered clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
486,Tautira,PF,82.06,light rain,-17.7333,-149.15,Pension Oaoa
493,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
495,Bireun,ID,83.93,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
515,Mecca,SA,82.45,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
516,Doka,SD,83.28,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
521,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
523,El Tigre,VE,77.27,clear sky,8.8875,-64.2454,Hotel Santa Cruz
526,Ruwi,OM,76.69,clear sky,23.5996,58.5507,Al Falaj Hotel
531,Lahaina,US,78.8,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
534,Ocos,GT,81.91,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
536,Tual,ID,83.34,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
538,Road Town,VG,77.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
541,Charters Towers,AU,89.6,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
562,Piacabucu,BR,75.36,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
565,Lake City,US,75.85,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
569,Sola,VU,84.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
571,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
572,Ambunti,PG,89.19,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
580,Niono,ML,84.27,broken clouds,14.2526,-5.993,Hôtel Campement
581,Mangrol,IN,86.94,broken clouds,21.1167,70.1167,Hotel The Royal Honours
585,Idenao,CM,78.39,overcast clouds,4.2475,9.0047,Moland Beach Resort
586,Saint-Leu,RE,77.86,scattered clouds,-21.15,55.2833,La Caz Oceane
590,Samarai,PG,84.65,scattered clouds,-10.6167,150.6667,Nuli Sapi
612,Nabire,ID,84.92,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
616,Morondava,MG,76.26,clear sky,-20.2833,44.2833,La Case Bambou
620,Aloleng,PH,85.86,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
623,Oeiras,BR,75.29,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
625,Bajil,YE,79.93,clear sky,15.0584,43.2851,فندق حضرموت
627,Rock Sound,BS,78.08,clear sky,24.9,-76.2,Pink Corral Bay Property
628,Kharan,PK,82.38,clear sky,28.5833,65.4167,Dil Aram Bangla
635,Loa Janan,ID,85.84,overcast clouds,-0.583,117.095,Kost bu jono
638,Tamale,GH,82.49,overcast clouds,9.4008,-0.8393,Tap Hotel
642,Puri,IN,82.92,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
643,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
651,Mitsamiouli,KM,79.09,few clouds,-11.3847,43.2844,Foyer ADM
665,Ponnani,IN,81.72,scattered clouds,10.767,75.9252,Rouba Residency
