City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Kavieng,PG,2022-04-06 16:27:05,-2.5744,150.7967,80.37,83,100,11.65
186,Oussouye,SN,2022-04-06 16:27:06,12.485,-16.5469,102.38,26,3,13.6
187,Waddan,LY,2022-04-06 16:27:06,29.1614,16.139,105.21,4,1,17.16
188,Cayenne,GF,2022-04-06 16:27:06,4.9333,-52.3333,84.24,1,75,12.66
189,Coihaique,CL,2022-04-06 16:27:07,-45.5752,-72.0662,43.41,93,100,5.75
190,Road Town,VG,2022-04-06 16:26:48,18.4167,-64.6167,84.24,61,40,11.5
191,Itarema,BR,2022-04-06 16:27:07,-2.9248,-39.9167,83.07,72,87,8.37
192,Labuhan,ID,2022-04-06 16:27:07,-6.8844,112.2051,77.68,86,74,12.24
193,Bethel,US,2022-04-06 16:27:08,41.3712,-73.414,50.36,90,100,12.66
194,Wasilla,US,2022-04-06 16:23:18,61.5814,-149.4394,37.49,75,100,17.27
195,Atambua,ID,2022-04-06 16:27:08,-9.1061,124.8925,72.64,86,50,4.14
196,Geraldton,AU,2022-04-06 16:27:09,-28.7667,114.6,70.21,68,98,5.75
197,Ambo,PE,2022-04-06 16:27:09,-10.1308,-76.2047,72.57,53,28,5.88
198,Bathsheba,BB,2022-04-06 16:27:09,13.2167,-59.5167,83.01,65,40,25.32
199,Campbellford,CA,2022-04-06 16:27:09,44.3084,-77.7995,59.83,58,8,5.99
200,Pitangui,BR,2022-04-06 16:27:10,-19.6828,-44.8903,82.13,67,16,1.16
201,Nizhniy Odes,RU,2022-04-06 16:27:10,63.6445,54.856,25.29,93,87,6.76
202,Muros,ES,2022-04-06 16:27:10,42.7762,-9.0603,62.69,69,97,8.43
203,Churachandpur,IN,2022-04-06 16:27:11,24.3333,93.6667,64.47,76,4,0.69
204,Mushie,CD,2022-04-06 16:27:11,-3.0167,16.9,87.08,61,33,2.51
205,San,ML,2022-04-06 16:26:24,13.3034,-4.8956,105.62,9,31,3.33
206,Chengdu,CN,2022-04-06 16:27:11,30.6667,104.0667,57.09,88,6,4.47
207,Esperance,AU,2022-04-06 16:27:12,-33.8667,121.9,58.84,80,76,11.45
208,Dawlatabad,AF,2022-04-06 16:27:12,36.4141,64.9053,80.33,25,97,9.08
209,San Mateo Del Mar,MX,2022-04-06 16:27:12,16.2,-95.0,81.63,72,44,12.41
210,Guipavas,FR,2022-04-06 16:27:13,48.4352,-4.3972,54.07,84,100,23.02
211,Kungurtug,RU,2022-04-06 16:27:13,50.5994,97.5228,31.23,90,28,2.35
212,Quzhou,CN,2022-04-06 16:27:13,28.9594,118.8686,60.08,73,41,1.01
